date,initiated_volume,proved_volume,finalized_volume,deposited_volume,daily_difference,cumulative_initiated,cumulative_proved,cumulative_finalized,cumulative_deposited
2024-02-26,1043101.9051731318,1041924.4768818609,1041875.1014018134,19846.297244867656,-1023255.6079282642,1078733217.9628599,1074306078.997174,1072156135.7824708,82524201.27292837
2024-02-27,1506068.508736255,1505446.6069941078,1504495.2420660788,48014.63147327708,-1458053.877262978,1080239286.4715962,1075811525.6041682,1073660631.0245368,82572215.90440165
2024-02-28,274660.4104227474,272944.6716752268,272334.8432251821,48732.4038608457,-225928.00656190168,1080513946.882019,1076084470.2758434,1073932965.867762,82620948.3082625
2024-02-29,787183.7323775563,570205.1161780118,569760.5180500114,58284.43527850543,-728899.2970990508,1081301130.6143966,1076654675.3920214,1074502726.385812,82679232.743541
2024-03-01,302691.42712650733,300702.6035014258,298672.78667634545,66653.51150501538,-236037.91562149196,1081603822.041523,1076955377.9955227,1074801399.1724885,82745886.25504602
2024-03-02,5107966.4110098565,5102258.609135163,5100825.76155457,80048.84797488202,-5027917.563034974,1086711788.4525328,1082057636.604658,1079902224.934043,82825935.1030209
2024-03-03,3592639.9103789027,3589231.0780654866,3588557.4931538473,75178.51321060483,-3517461.397168298,1090304428.3629117,1085646867.6827233,1083490782.4271967,82901113.61623152
2024-03-04,456434.212145893,453314.8280269633,453170.166416957,89166.08075361364,-367268.1313922794,1090760862.5750575,1086100182.5107503,1083943952.5936136,82990279.69698513
2024-03-05,1040698.599423987,1026459.5056705868,1023170.8308545788,181594.3140558709,-859104.2853681161,1091801561.1744814,1087126642.0164208,1084967123.4244683,83171874.011041
2024-03-06,636525.9919783504,630099.0628750564,626775.3850269206,162305.8315739524,-474220.16040439805,1092438087.1664598,1087756741.0792959,1085593898.8094952,83334179.84261495
2024-03-07,1861699.4126583561,1853791.5302930346,1849014.9971471843,223690.0982440067,-1638009.3144143494,1094299786.5791183,1089610532.6095889,1087442913.8066423,83557869.94085896
2024-03-08,2455785.9388730014,2452888.134857278,2446450.5823851186,106442.99199745173,-2349342.94687555,1096755572.5179913,1092063420.744446,1089889364.3890274,83664312.93285641
2024-03-09,993417.4340891668,990526.9899999194,989114.528455594,67671.7863036621,-925745.6477855047,1097748989.9520805,1093053947.734446,1090878478.9174829,83731984.71916008
2024-03-10,3457958.3324361504,3453904.63183606,3453086.0099478746,129223.4481096344,-3328734.884326516,1101206948.2845166,1096507852.3662822,1094331564.9274306,83861208.16726972
2024-03-11,1190827.6547119112,1185333.8614624604,1175445.9430523068,170873.59172617,-1019954.0629857412,1102397775.9392285,1097693186.2277446,1095507010.870483,84032081.75899589
2024-03-12,761766.0357753818,754928.2329415644,753419.6888088367,140499.7905995414,-621266.2451758404,1103159541.975004,1098448114.4606862,1096260430.5592918,84172581.54959543
2024-03-13,857166.5376652725,855131.7418792975,835396.2034321803,147585.93758028938,-709580.600084983,1104016708.5126693,1099303246.2025654,1097095826.762724,84320167.48717572
